source_document_id	id	user	word_id	name	latitude	longitude	population	gazetteer	gazref	type	country	location_type	remarks	person	is_main_location	near_main_location	position_wrt_main	dbpedia	dbpedia_id
123	12059	"Katie McDonough"	w33	Dauphiné	45	5.25	0	geonames	3021686	RGN	FR	"real, existing < 1800"		false	true	false		Dauphiné	96620
123	12063	"Katie McDonough"	w147	Savoie	45.4	6.5	0	geonames	2975518	RGN	FR			false	false	true	east	Savoy	27885
123	12168	"Laure Philip"	w23	DAUPHINE	45	5.25	0	geonames	3021686	RGN	FR	"real, existing < 1800"		false	true	false		dauphine	9443355
123	12169	"Laure Philip"	w33	dauphine	45	5.25	0	geonames	3021686	RGN	FR	"real, existing < 1800"		false	true	false		Dauphine	4053652
123	12171	"Laure Philip"	w103	"Rhône river"	43.33333	4.83333	0	geonames	2983752	STM	FR	"real, existing < 1800"		false	false	true	"south west"	"rhone river"	80790
123	12172	"Laure Philip"	w132	"Rhône river"	43.33333	4.83333	0	geonames	2983752	STM	FR	"real, existing < 1800"		false	false	true	"south west"	"rhone river"	80790
123	12173	"Laure Philip"	w147	Savoie	45.4	6.5	0	geonames	2975518	RGN	FR	"real, existing < 1800"		false	false	true	south	savoy	27885
123	12174	"Laure Philip"	w170	Provence	44	6	0	geonames	2985246	RGN	FR	"real, existing < 1800"		false	false	true	south	provence	198933
123	12176	"Laure Philip"	w237	"Rhône river"	43.33333	4.83333	0	geonames	2983752	STM	FR	"real, existing < 1800"		false	false	true	"south west"	"rhone river"	80790
123	12177	"Laure Philip"	w247	Durance	43.92276	4.74409	0	geonames	3020668	STM	FR	"real, existing < 1800"		false	false	true		durance	1407821
123	12178	"Laure Philip"	w259	Isere	44.98374	4.86045	0	geonames	3012716	STM	FR	"real, existing < 1800"		false	false	true		isere	90499
123	12179	"Laure Philip"	w275	Drome	44.7713	4.76496	0	geonames	3020784	STM	FR	"real, existing < 1800"		false	false	true		drome	22332367
123	12180	"Laure Philip"	w436	Gresivaudan	45.25	5.83333	0	geonames	3015393	VAL	FR	"real, existing < 1800"	https://en.wikipedia.org/wiki/Gr%C3%A9sivaudan	false	false	true	"inside main location"	Grésivaudan	
123	12181	"Laure Philip"	w452	Brianconnois								"real, existing < 1800"	https://fr.wikipedia.org/wiki/Brian%C3%A7onnais	false	false	true	"inside main location"		
123	12182	"Laure Philip"	w469	Embrunais								"real, existing < 1800"	https://fr.wikipedia.org/wiki/Embrunais	false	false	true	"inside main location"		
123	12184	"Laure Philip"	w497	Royannez										false	false	true	"inside main location"		
123	12185	"Laure Philip"	w517	Baronies										false	false	true	"inside main location"		
123	12186	"Laure Philip"	w546	Valentinois									https://fr.wikipedia.org/wiki/Valentinois	false	false	true	"inside main location"		
123	12188	"Laure Philip"	w578	Tricastin	44.35	4.76667	0	geonames	2971697	RGN	FR	"real, existing < 1800"	https://en.wikipedia.org/wiki/Tricastin	false	false	true	"inside main location"	tricastin	12580483
123	12239	"Laure Philip"	w68	France	46	2	0	geonames	3017382	PCLI	FR	"real, existing < 1800"		false	false	false	"contains main location"	France	5843419
123	12240	"Laure Philip"	w206	Alps	46.41667	10	0	geonames	2661786	MTS		"real, existing < 1800"		false	false	false	east	Alps	981
123	12241	"Laure Philip"	w483	Dauphiné	45	5.25	0	geonames	3021686	RGN	FR	"real, historical"	"acc. to http://www.emse.fr/AVSE/depart.htm gapancais was the old dauphine"	false	false	true			
123	12242	"Laure Philip"	w629	Grenoble	45.16667	5.71667	0	geonames	3014728	PPLA2	FR	"real, existing < 1800"	"Grenoble not picked up by dbpedia"	false	false	false	"inside main location"		
123	12325	"Simon Burrows"	w23	Dauphiné	45	5.25	0	geonames	3021686	RGN	FR	"real, existing < 1800"		false	true	false		"Rue Dauphine"	9443355
123	12326	"Simon Burrows"	w33	Dauphiné	45	5.25	0	geonames	3021686	RGN	FR	"real, existing < 1800"		false	true	false		"Rue Dauphine"	9443355
123	12327	"Simon Burrows"	w68	France	46	2	0	geonames	3017382	PCLI	FR	"real, existing < 1800"		false	false	false	"contains main location"	France	5843419
123	12328	"Simon Burrows"	w103	Rhône	43.33333	4.83333	0	geonames	2983752	STM	FR	"real, existing < 1800"		false	false	true	west	Rhône	80790
123	12329	"Simon Burrows"	w132	Rhône	43.33333	4.83333	0	geonames	2983752	STM	FR	"real, existing < 1800"		false	false	true	north	Rhône	80790
123	12330	"Simon Burrows"	w147	Savoie	45.4	6.5	0	geonames	2975518	RGN	FR	"real, existing < 1800"		false	false	true	north	Savoy	27885
123	12331	"Simon Burrows"	w170									"real, existing < 1800"	"Provence will not register as name or dbpedia entry. wikipedia link: https://en.wikipedia.org/wiki/Provence"	false	false	true	south		
123	12332	"Simon Burrows"	w206	Alps	46.41667	10	0	geonames	2661786	MTS		"real, existing < 1800"		false	false	true	east	Alps	981
123	12333	"Simon Burrows"	w237	Rhône	43.33333	4.83333	0	geonames	2983752	STM	FR			false	false	true	"surrounded by main"	Rhône	80790
123	12334	"Simon Burrows"	w247	Durance	44.16094	0.1602	0	geonames	3020669	PPL	FR	"real, existing < 1800"		false	false	true	"surrounded by main"	Durance	1407821
123	12335	"Simon Burrows"	w259	Isère	44.98374	4.86045	0	geonames	3012716	STM	FR	"real, existing < 1800"		false	false	true	"surrounded by main"	Isere	
123	12336	"Simon Burrows"	w436	"Vallée de Graisivaudan"	45.25	5.83333	0	geonames	3015393	VAL	FR	"real, existing < 1800"		false	false	false	"inside main location"	Grésivaudan	
123	12337	"Simon Burrows"	w452	Briançonnois								"real, historical"	"appears for example in map title at http://gallica.bnf.fr/ark:/12148/btv1b7710566b/f1.item"	false	false	false	"inside main location"		
123	12338	"Simon Burrows"	w469	Embrunois								"real, existing < 1800"	"appears for example in map title at http://gallica.bnf.fr/ark:/12148/btv1b7710566b/f1.item"	false	false	false	"inside main location"		
123	12340	"Simon Burrows"	w483	Gapançois								"real, existing < 1800"		false	false	false	"inside main location"		
